[Simulation 1] generations = 11 | descendants = 57 | [1, 2, 5, 6, 8, 3, 9, 7, 7, 5, 3, 2, 0]
[Simulation 2] generations = 0 | descendants = 0 | [1, 0]
[Simulation 3] generations = 17 | descendants = 117 | [1, 2, 6, 8, 5, 5, 7, 14, 15, 6, 7, 9, 14, 10, 5, 2, 1, 1, 0]
[Simulation 4] generations = 0 | descendants = 0 | [1, 0]
[Simulation 5] generations = 0 | descendants = 0 | [1, 0]
[Simulation 6] generations = 5 | descendants = 17 | [1, 2, 3, 3, 4, 5, 0]
[Simulation 7] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 8] generations = 0 | descendants = 0 | [1, 0]
[Simulation 9] generations = 5 | descendants = 11 | [1, 1, 1, 4, 2, 3, 0]
[Simulation 10] generations = 0 | descendants = 0 | [1, 0]
[Simulation 11] generations = 0 | descendants = 0 | [1, 0]
[Simulation 12] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 13] generations = 0 | descendants = 0 | [1, 0]
[Simulation 14] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 15] generations = 4 | descendants = 13 | [1, 3, 4, 4, 2, 0]
[Simulation 16] generations = 0 | descendants = 0 | [1, 0]
[Simulation 17] generations = 7 | descendants = 35 | [1, 2, 4, 5, 8, 9, 6, 1, 0]
[Simulation 18] generations = 12 | descendants = 68 | [1, 4, 5, 4, 8, 6, 8, 11, 9, 6, 2, 4, 1, 0]
[Simulation 19] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 20] generations = 12 | descendants = 24 | [1, 2, 1, 1, 1, 1, 1, 2, 2, 2, 5, 4, 2, 0]
[Simulation 21] generations = 0 | descendants = 0 | [1, 0]
[Simulation 22] generations = 0 | descendants = 0 | [1, 0]
[Simulation 23] generations = 0 | descendants = 0 | [1, 0]
[Simulation 24] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 25] generations = 0 | descendants = 0 | [1, 0]
[Simulation 26] generations = 31 | descendants = 317 | [1, 1, 4, 11, 8, 8, 6, 2, 4, 3, 4, 10, 9, 7, 17, 28, 20, 22, 20, 12, 8, 14, 16, 11, 13, 7, 12, 13, 10, 8, 7, 2, 0]
[Simulation 27] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 28] generations = 5 | descendants = 20 | [1, 1, 4, 4, 9, 2, 0]
[Simulation 29] generations = 0 | descendants = 0 | [1, 0]
[Simulation 30] generations = 7 | descendants = 11 | [1, 1, 1, 3, 2, 1, 2, 1, 0]
[Simulation 31] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 32] generations = 8 | descendants = 26 | [1, 2, 2, 4, 2, 4, 5, 6, 1, 0]
[Simulation 33] generations = 0 | descendants = 0 | [1, 0]
[Simulation 34] generations = 8 | descendants = 39 | [1, 4, 3, 8, 10, 9, 3, 1, 1, 0]
[Simulation 35] generations = 0 | descendants = 0 | [1, 0]
[Simulation 36] generations = 4 | descendants = 7 | [1, 2, 1, 3, 1, 0]
[Simulation 37] generations = 0 | descendants = 0 | [1, 0]
[Simulation 38] generations = 2 | descendants = 4 | [1, 2, 2, 0]
[Simulation 39] generations = 0 | descendants = 0 | [1, 0]
[Simulation 40] generations = 16 | descendants = 113 | [1, 1, 4, 6, 7, 5, 8, 12, 7, 8, 8, 11, 13, 10, 6, 5, 2, 0]
[Simulation 41] generations = 0 | descendants = 0 | [1, 0]
[Simulation 42] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 43] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 44] generations = 0 | descendants = 0 | [1, 0]
[Simulation 45] generations = 3 | descendants = 6 | [1, 1, 1, 4, 0]
[Simulation 46] generations = 0 | descendants = 0 | [1, 0]
[Simulation 47] generations = 12 | descendants = 17 | [1, 1, 2, 3, 1, 2, 2, 1, 1, 1, 1, 1, 1, 0]
[Simulation 48] generations = 7 | descendants = 38 | [1, 4, 7, 6, 8, 8, 3, 2, 0]
[Simulation 49] generations = 0 | descendants = 0 | [1, 0]
[Simulation 50] generations = 0 | descendants = 0 | [1, 0]
[Simulation 51] generations = 5 | descendants = 29 | [1, 4, 7, 8, 6, 4, 0]
[Simulation 52] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 53] generations = 3 | descendants = 6 | [1, 4, 1, 1, 0]
[Simulation 54] generations = 0 | descendants = 0 | [1, 0]
[Simulation 55] generations = 12 | descendants = 66 | [1, 2, 6, 9, 8, 11, 9, 6, 8, 2, 2, 2, 1, 0]
[Simulation 56] generations = 17 | descendants = 120 | [1, 2, 2, 3, 6, 4, 3, 4, 7, 10, 9, 11, 11, 13, 13, 12, 7, 3, 0]
[Simulation 57] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 58] generations = 2 | descendants = 4 | [1, 2, 2, 0]
[Simulation 59] generations = 12 | descendants = 78 | [1, 2, 6, 3, 4, 4, 7, 10, 14, 13, 7, 7, 1, 0]
[Simulation 60] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 61] generations = 0 | descendants = 0 | [1, 0]
[Simulation 62] generations = 0 | descendants = 0 | [1, 0]
[Simulation 63] generations = 0 | descendants = 0 | [1, 0]
[Simulation 64] generations = 2 | descendants = 3 | [1, 2, 1, 0]
[Simulation 65] generations = 3 | descendants = 6 | [1, 3, 2, 1, 0]
[Simulation 66] generations = 0 | descendants = 0 | [1, 0]
[Simulation 67] generations = 0 | descendants = 0 | [1, 0]
[Simulation 68] generations = 0 | descendants = 0 | [1, 0]
[Simulation 69] generations = 0 | descendants = 0 | [1, 0]
[Simulation 70] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 71] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 72] generations = 0 | descendants = 0 | [1, 0]
[Simulation 73] generations = 8 | descendants = 27 | [1, 1, 2, 5, 3, 4, 4, 5, 3, 0]
[Simulation 74] generations = 13 | descendants = 87 | [1, 3, 4, 6, 15, 12, 11, 9, 2, 4, 6, 8, 6, 1, 0]
[Simulation 75] generations = 3 | descendants = 4 | [1, 1, 2, 1, 0]
[Simulation 76] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 77] generations = 0 | descendants = 0 | [1, 0]
[Simulation 78] generations = 2 | descendants = 4 | [1, 2, 2, 0]
[Simulation 79] generations = 0 | descendants = 0 | [1, 0]
[Simulation 80] generations = 10 | descendants = 42 | [1, 1, 3, 3, 5, 5, 8, 7, 8, 1, 1, 0]
[Simulation 81] generations = 2 | descendants = 5 | [1, 2, 3, 0]
[Simulation 82] generations = 0 | descendants = 0 | [1, 0]
[Simulation 83] generations = 3 | descendants = 4 | [1, 2, 1, 1, 0]
[Simulation 84] generations = 0 | descendants = 0 | [1, 0]
[Simulation 85] generations = 0 | descendants = 0 | [1, 0]
[Simulation 86] generations = 0 | descendants = 0 | [1, 0]
[Simulation 87] generations = 2 | descendants = 3 | [1, 2, 1, 0]
[Simulation 88] generations = 52 | descendants = 704 | [1, 2, 1, 2, 1, 2, 5, 4, 1, 3, 4, 7, 8, 9, 11, 15, 6, 9, 13, 9, 8, 6, 5, 4, 6, 8, 8, 10, 12, 17, 17, 23, 27, 33, 41, 32, 45, 35, 30, 32, 29, 26, 26, 18, 18, 15, 18, 12, 10, 4, 6, 10, 1, 0]
[Simulation 89] generations = 0 | descendants = 0 | [1, 0]
[Simulation 90] generations = 0 | descendants = 0 | [1, 0]
[Simulation 91] generations = 0 | descendants = 0 | [1, 0]
[Simulation 92] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 93] generations = 0 | descendants = 0 | [1, 0]
[Simulation 94] generations = 4 | descendants = 8 | [1, 1, 3, 3, 1, 0]
[Simulation 95] generations = 0 | descendants = 0 | [1, 0]
[Simulation 96] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 97] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 98] generations = 0 | descendants = 0 | [1, 0]
[Simulation 99] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 100] generations = 0 | descendants = 0 | [1, 0]
[Simulation 101] generations = 0 | descendants = 0 | [1, 0]
[Simulation 102] generations = 0 | descendants = 0 | [1, 0]
[Simulation 103] generations = 9 | descendants = 29 | [1, 1, 4, 3, 6, 3, 1, 4, 6, 1, 0]
[Simulation 104] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 105] generations = 0 | descendants = 0 | [1, 0]
[Simulation 106] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 107] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 108] generations = 15 | descendants = 51 | [1, 1, 2, 3, 3, 2, 4, 4, 5, 2, 2, 3, 4, 4, 6, 6, 0]
[Simulation 109] generations = 0 | descendants = 0 | [1, 0]
[Simulation 110] generations = 0 | descendants = 0 | [1, 0]
[Simulation 111] generations = 0 | descendants = 0 | [1, 0]
[Simulation 112] generations = 8 | descendants = 23 | [1, 2, 2, 1, 2, 5, 5, 5, 1, 0]
[Simulation 113] generations = 3 | descendants = 5 | [1, 1, 1, 3, 0]
[Simulation 114] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 115] generations = 5 | descendants = 17 | [1, 2, 2, 5, 3, 5, 0]
[Simulation 116] generations = 0 | descendants = 0 | [1, 0]
[Simulation 117] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 118] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 119] generations = 1 | descendants = 2 | [1, 2, 0]
[Simulation 120] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 121] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 122] generations = 33 | descendants = 246 | [1, 4, 6, 4, 4, 2, 6, 4, 5, 9, 9, 8, 13, 13, 11, 6, 5, 5, 7, 5, 8, 11, 9, 10, 11, 4, 5, 11, 8, 6, 11, 11, 9, 6, 0]
[Simulation 123] generations = 16 | descendants = 82 | [1, 1, 4, 3, 3, 5, 2, 3, 5, 9, 10, 7, 3, 5, 6, 8, 8, 0]
[Simulation 124] generations = 4 | descendants = 13 | [1, 4, 4, 3, 2, 0]
[Simulation 125] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 126] generations = 0 | descendants = 0 | [1, 0]
[Simulation 127] generations = 3 | descendants = 5 | [1, 2, 2, 1, 0]
[Simulation 128] generations = 0 | descendants = 0 | [1, 0]
[Simulation 129] generations = 0 | descendants = 0 | [1, 0]
[Simulation 130] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 131] generations = 0 | descendants = 0 | [1, 0]
[Simulation 132] generations = 0 | descendants = 0 | [1, 0]
[Simulation 133] generations = 0 | descendants = 0 | [1, 0]
[Simulation 134] generations = 13 | descendants = 68 | [1, 4, 5, 3, 5, 7, 7, 4, 5, 6, 9, 9, 3, 1, 0]
[Simulation 135] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 136] generations = 0 | descendants = 0 | [1, 0]
[Simulation 137] generations = 2 | descendants = 2 | [1, 1, 1, 0]
[Simulation 138] generations = 0 | descendants = 0 | [1, 0]
[Simulation 139] generations = 0 | descendants = 0 | [1, 0]
[Simulation 140] generations = 1 | descendants = 1 | [1, 1, 0]
[Simulation 141] generations = 0 | descendants = 0 | [1, 0]
[Simulation 142] generations = 1 | descendants = 1 | [1, 1, 0]
